account_angaza_id,effective_date,angaza_id,amount_towards_follow_on
AC8648525,2023-09-28,US130532,20
AC8677891,2023-09-28,US100627,100
AC8683139,2023-09-28,US041680,20
AC8679066,2023-09-28,US018486,20
AC8688571,2023-09-28,US041371,50
AC8652199,2023-09-28,US112247,27000
AC8679468,2023-09-28,US075607,21
AC8666711,2023-09-28,US008494,100
AC8681358,2023-09-28,US130014,5000
AC8682285,2023-09-28,US135281,60
AC8666463,2023-09-28,US050200,100
AC8647619,2023-09-28,US111979,100
AC8645812,2023-09-28,US174782,1250
AC8663720,2023-09-28,US100627,100
AC8667823,2023-09-28,US109934,20
AC8665301,2023-09-28,US101477,50
AC8691928,2023-09-28,US005427,1500
AC8688452,2023-09-28,US056321,20
AC8648307,2023-09-28,US008494,20
AC8638350,2023-09-28,US156775,5000
AC8656652,2023-09-28,US050935,500
AC8658038,2023-09-28,US111228,80
AC8679554,2023-09-28,US114262,1500
AC8644417,2023-09-28,US111194,1000
AC8657829,2023-09-28,US068212,40
AC8655981,2023-09-28,US137602,120
AC8657243,2023-09-28,US154298,100
AC8649371,2023-09-28,US009411,20
AC8680696,2023-09-28,US100593,15
AC8640659,2023-09-28,US094912,1000
AC8656915,2023-09-28,US132410,40
AC8676421,2023-09-28,US149448,1200
AC8671585,2023-09-28,US100593,30
AC8674206,2023-09-28,US121003,6000
AC8648475,2023-09-28,US092533,6000
AC8664692,2023-09-28,US126804,10800
AC8634900,2023-09-28,US078092,40
AC8638282,2023-09-28,US164064,1250
AC8642929,2023-09-28,US174334,60
AC8672508,2023-09-28,US101368,5400
AC8635614,2023-09-28,US046584,60
AC8645355,2023-09-28,US075607,50
AC8658242,2023-09-28,US098371,2800
AC8644380,2023-09-28,US063983,20
AC8653211,2023-09-28,US039767,441
AC8665754,2023-09-28,US080182,100
AC8638445,2023-09-28,US069462,20
AC8645760,2023-09-28,US066406,600
AC8661544,2023-09-28,US041371,40
AC8658070,2023-09-28,US130056,1500
AC8676288,2023-09-28,US119562,120
AC8638846,2023-09-28,US111194,20
AC8690985,2023-09-28,US063207,1250
AC8642970,2023-09-28,US163012,20
AC8651063,2023-09-28,US151873,100
AC8639726,2023-09-28,US117835,1300
AC8651020,2023-09-28,US050935,50
AC8658019,2023-09-28,US136635,3000
AC8688069,2023-09-28,US085138,40
AC8689255,2023-09-28,US124678,20
AC8670035,2023-09-28,US005938,4500
AC8681937,2023-09-28,US034964,20
AC8672208,2023-09-28,US133027,20
AC8664473,2023-09-28,US062428,1500
AC8683924,2023-09-28,US151612,60
AC8640072,2023-09-28,US075607,60
AC8676020,2023-09-28,US063473,20
AC8638168,2023-09-28,US060503,80
AC8661335,2023-09-28,US162437,2500
AC8679282,2023-09-28,US063242,40
AC8656961,2023-09-28,US101477,20
AC8677386,2023-09-28,US056690,5000
AC8673488,2023-09-28,US154753,40
AC8681493,2023-09-28,US041371,100
AC8667247,2023-09-28,US114622,2500
AC8693531,2023-09-28,US063002,60
AC8670930,2023-09-28,US153851,70
AC8656919,2023-09-28,US123192,500
AC8681289,2023-09-28,US093912,2600
AC8640941,2023-09-28,US100593,20
AC8683434,2023-09-28,US071312,8100
AC8674755,2023-09-28,US000523,90
AC8666764,2023-09-28,US075607,30
AC8641574,2023-09-28,US107955,1200
AC8645983,2023-09-28,US094945,50
AC8673263,2023-09-28,US063002,35
AC8669695,2023-09-28,US130014,2000
AC8642535,2023-09-28,US137989,1250
AC8649619,2023-09-28,US174334,60
AC8664821,2023-09-28,US069715,5000
AC8641676,2023-09-28,US070234,20
AC8639597,2023-09-28,US098371,2000
AC8659839,2023-09-28,US063473,40
AC8661510,2023-09-28,US134595,2500
AC8677186,2023-09-28,US111344,3600
AC8650995,2023-09-28,US107628,4000
AC8671676,2023-09-28,US130181,1500
AC8637543,2023-09-28,US163021,20
AC8676519,2023-09-28,US137865,60
AC8642924,2023-09-28,US049631,40
AC8679957,2023-09-28,US171401,1250
AC8638126,2023-09-28,US008494,40
AC8688426,2023-09-28,US146195,100
AC8661932,2023-09-28,US134593,900
AC8667349,2023-09-28,US119419,20000
AC8668589,2023-09-28,US050935,50
AC8650769,2023-09-28,US011278,105
AC8635106,2023-09-28,US063002,20
AC8640147,2023-09-28,US098199,3000
AC8692319,2023-09-28,US121448,5400
AC8657169,2023-09-28,US110489,1250
AC8681547,2023-09-28,US118040,20
AC8644633,2023-09-28,US122746,40
AC8653025,2023-09-28,US174955,1250
AC8653109,2023-09-28,US098835,20
AC8641471,2023-09-28,US126295,3000
AC8677886,2023-09-28,US033875,20
AC8673132,2023-09-28,US023924,30
AC8636449,2023-09-27,US133027,20
AC8654169,2023-09-27,US125998,475
AC8675125,2023-09-27,US130939,20
AC8636334,2023-09-27,US063002,100
AC8663390,2023-09-27,US100593,20
AC8686209,2023-09-27,US174527,30
AC8681058,2023-09-27,US037823,9800
AC8643927,2023-09-27,US137363,60
AC8688375,2023-09-27,US123333,3000
AC8660850,2023-09-27,US130002,10000
AC8649371,2023-09-27,US009411,20
AC8672483,2023-09-27,US094578,1250
AC8647630,2023-09-27,US016694,20
AC8649727,2023-09-27,US117457,495
AC8648307,2023-09-27,US008494,20
AC8667975,2023-09-27,US119938,1200
AC8655981,2023-09-27,US137602,100
AC8684756,2023-09-27,US162437,9800
AC8688647,2023-09-27,US141355,20
AC8663278,2023-09-27,US125680,20
AC8666463,2023-09-27,US050200,100
AC8640890,2023-09-27,US126333,1200
AC8654917,2023-09-27,US123576,200
AC8646022,2023-09-27,US130412,1250
AC8661335,2023-09-27,US162437,3000
AC8683345,2023-09-27,US122746,20
AC8686487,2023-09-27,US130193,1400
AC8637990,2023-09-27,US085138,40
AC8641059,2023-09-27,US156777,1100
AC8651773,2023-09-27,US111194,20
AC8668586,2023-09-27,US066558,60
AC8640837,2023-09-27,US107628,1200
AC8666717,2023-09-27,US056321,20
AC8662931,2023-09-27,US081905,2533
AC8641769,2023-09-27,US122086,3000
AC8650115,2023-09-27,US069987,1250
AC8676020,2023-09-27,US063473,20
AC8688335,2023-09-27,US018486,50
AC8687763,2023-09-27,US075607,20
AC8688179,2023-09-27,US100410,100
AC8666995,2023-09-27,US134595,9800
AC8654603,2023-09-27,US133027,20
AC8644749,2023-09-27,US056690,2000
AC8691358,2023-09-27,US111228,30
AC8651098,2023-09-27,US151612,100
AC8689160,2023-09-27,US112077,80
AC8666089,2023-09-27,US126431,1500
AC8674171,2023-09-27,US093912,10000
AC8667863,2023-09-27,US119659,20
AC8667508,2023-09-27,US079445,300
AC8670981,2023-09-27,US151909,5400
AC8689662,2023-09-27,US174782,1300
AC8680480,2023-09-27,US134422,20
AC8657649,2023-09-27,US008496,475
AC8688882,2023-09-27,US124811,40
AC8690445,2023-09-27,US151612,20
AC8637433,2023-09-27,US056690,1800
AC8682065,2023-09-27,US068212,100
AC8645355,2023-09-27,US075607,20
AC8663422,2023-09-27,US174334,20
AC8664207,2023-09-27,US133682,5000
AC8652115,2023-09-27,US154753,20
AC8668130,2023-09-27,US119659,20
AC8644759,2023-09-27,US117457,100
AC8670952,2023-09-27,US111194,60
AC8638464,2023-09-27,US143758,1250
AC8650399,2023-09-27,US121003,2500
AC8673828,2023-09-27,US134595,1800
AC8669309,2023-09-27,US134318,10000
AC8654912,2023-09-27,US134595,2800
AC8691183,2023-09-27,US170399,2000
AC8642270,2023-09-27,US078156,35
AC8665506,2023-09-27,US054337,20
AC8650326,2023-09-27,US074534,20
AC8654308,2023-09-27,US062428,1500
AC8681195,2023-09-27,US100593,20
AC8679067,2023-09-27,US170399,980
AC8659508,2023-09-27,US150398,2000
AC8691590,2023-09-27,US111618,4000
AC8690450,2023-09-27,US121788,50
AC8682720,2023-09-27,US174334,40
AC8674325,2023-09-27,US075607,20
AC8679468,2023-09-27,US075607,20
AC8639564,2023-09-27,US134595,1000
AC8648814,2023-09-27,US133913,4700
AC8647171,2023-09-27,US171628,2500
AC8638358,2023-09-27,US121788,40
AC8681326,2023-09-27,US111979,60
AC8637676,2023-09-27,US138437,140
AC8681435,2023-09-27,US037823,9800
AC8674755,2023-09-27,US000523,90
AC8676403,2023-09-27,US038024,2450
AC8678130,2023-09-27,US005427,1800
AC8661510,2023-09-27,US134595,2500
AC8661410,2023-09-27,US098587,20
AC8641385,2023-09-27,US083717,100
AC8691046,2023-09-27,US056135,50
AC8661544,2023-09-27,US041371,20
AC8669889,2023-09-27,US075607,20
AC8677891,2023-09-27,US100627,100
AC8662348,2023-09-27,US144505,1500
AC8649755,2023-09-27,US038209,60
AC8693531,2023-09-27,US063002,20
AC8637988,2023-09-27,US130532,40
AC8637327,2023-09-27,US068212,100
AC8650787,2023-09-27,US080182,140
AC8676352,2023-09-27,US073638,5400
AC8660342,2023-09-27,US119659,20
AC8670317,2023-09-27,US174334,20
AC8652031,2023-09-27,US126750,1300
AC8669163,2023-09-27,US121788,20
AC8671568,2023-09-27,US156695,40
AC8685507,2023-09-27,US126295,1500
AC8659031,2023-09-27,US009411,40
AC8644221,2023-09-27,US098371,1000
AC8676440,2023-09-27,US134595,1000
AC8693376,2023-09-27,US163012,100
AC8635106,2023-09-27,US063002,20
AC8693264,2023-09-27,US176780,2700
AC8678898,2023-09-27,US110563,6000
AC8665175,2023-09-27,US137118,1250
AC8670562,2023-09-27,US077003,20
AC8677149,2023-09-27,US130532,20
AC8654112,2023-09-27,US153868,1250
AC8652936,2023-09-27,US107734,1300
AC8663366,2023-09-27,US100593,80
AC8668855,2023-09-27,US093912,4500
AC8677060,2023-09-27,US137865,20
AC8638947,2023-09-27,US173828,5000
AC8646869,2023-09-27,US137363,140
AC8655082,2023-09-27,US156695,100
AC8677886,2023-09-27,US033875,20
AC8665800,2023-09-27,US008494,20
AC8651620,2023-09-27,US033875,20
AC8658942,2023-09-27,US045481,2700
AC8670106,2023-09-27,US153868,3400
AC8677907,2023-09-27,US134422,100
AC8639511,2023-09-27,US143758,1250
AC8674960,2023-09-27,US111979,100
AC8675071,2023-09-27,US111194,475
AC8660321,2023-09-27,US100627,60
AC8690118,2023-09-27,US126431,1250
AC8654875,2023-09-27,US101827,2500
AC8683139,2023-09-27,US041680,20
AC8638807,2023-09-27,US044260,2000
AC8646504,2023-09-27,US173828,1250
AC8690112,2023-09-27,US128185,120
AC8647847,2023-09-27,US078581,20
AC8677296,2023-09-27,US117457,20
AC8645453,2023-09-27,US053815,80
AC8653682,2023-09-27,US082170,50
AC8651339,2023-09-27,US119659,40
AC8646746,2023-09-27,US137865,50
AC8676894,2023-09-27,US080986,1800
AC8647712,2023-09-27,US100593,100
AC8665041,2023-09-27,US137363,140
AC8661932,2023-09-27,US134593,900
AC8665325,2023-09-27,US124811,20
AC8639413,2023-09-27,US133913,5400
AC8649109,2023-09-27,US142665,1250
AC8656915,2023-09-27,US132410,20
AC8637288,2023-09-27,US174949,1250
AC8638316,2023-09-27,US110563,3500
AC8674110,2023-09-27,US036649,100
AC8648538,2023-09-27,US128185,20
AC8676582,2023-09-27,US102532,900
AC8679425,2023-09-27,US063002,40
AC8688611,2023-09-27,US112247,2700
AC8686836,2023-09-27,US018486,40
AC8676523,2023-09-27,US022940,60
AC8662989,2023-09-27,US134272,20
AC8652017,2023-09-27,US123304,20
AC8680809,2023-09-27,US063002,140
AC8659829,2023-09-27,US098835,50
AC8685582,2023-09-27,US126295,1250
AC8644785,2023-09-27,US129724,1250
AC8634917,2023-09-27,US148889,20
AC8693489,2023-09-27,US117946,5400
AC8644973,2023-09-27,US117835,20
AC8650579,2023-09-27,US148889,75
AC8671476,2023-09-27,US056135,20
AC8675209,2023-09-27,US050935,20
AC8657310,2023-09-27,US177412,20
AC8675598,2023-09-27,US168296,1250
AC8654279,2023-09-27,US132410,200
AC8677901,2023-09-27,US178361,6300
AC8671604,2023-09-27,US137363,20
AC8645342,2023-09-27,US151671,50
AC8671897,2023-09-27,US063002,100
AC8664498,2023-09-27,US000523,35
AC8645166,2023-09-27,US160409,300
AC8685829,2023-09-27,US125998,40
AC8686969,2023-09-27,US160409,40
AC8645617,2023-09-27,US171628,1250
AC8648587,2023-09-27,US087292,200
AC8656463,2023-09-27,US122746,100
AC8686808,2023-09-27,US121833,3000
AC8664226,2023-09-27,US169418,1500
AC8653109,2023-09-27,US098835,20
AC8674161,2023-09-27,US174334,30
AC8671445,2023-09-27,US097752,80
AC8677687,2023-09-27,US056321,40
AC8640941,2023-09-27,US100593,20
AC8690091,2023-09-27,US067418,40
AC8661230,2023-09-27,US117471,100
AC8649619,2023-09-27,US174334,20
AC8652489,2023-09-27,US074534,20
AC8675834,2023-09-27,US151612,100
AC8637543,2023-09-27,US163021,20
AC8673801,2023-09-27,US174527,20
AC8663050,2023-09-27,US034964,60
AC8689255,2023-09-27,US124678,20
AC8638627,2023-09-27,US067418,1920
AC8672208,2023-09-27,US133027,20
AC8637478,2023-09-27,US054337,40
AC8667004,2023-09-27,US159752,2500
AC8674057,2023-09-27,US036649,20
AC8683097,2023-09-27,US134272,200
AC8657810,2023-09-27,US133003,40
AC8664010,2023-09-27,US149330,1261
AC8691599,2023-09-27,US130532,20
AC8643025,2023-09-27,US075607,99
AC8689442,2023-09-27,US178050,60
AC8655595,2023-09-27,US098371,1800
AC8639788,2023-09-27,US041371,20
AC8673488,2023-09-27,US154753,20
AC8653036,2023-09-27,US163064,2500
AC8638846,2023-09-27,US111194,40
AC8685997,2023-09-27,US111211,80
AC8656961,2023-09-27,US101477,20
AC8684407,2023-09-27,US079445,100
AC8653401,2023-09-27,US149494,1200
AC8692509,2023-09-27,US011278,20
AC8645406,2023-09-27,US037466,280
AC8691839,2023-09-27,US100410,20
AC8688864,2023-09-27,US008496,30
AC8688299,2023-09-27,US033875,40
AC8683261,2023-09-27,US022940,20
AC8657905,2023-09-27,US109934,80
AC8693626,2023-09-27,US120160,1250
AC8639358,2023-09-26,US136684,20
AC8679308,2023-09-26,US063242,60
AC8690358,2023-09-26,US056321,40
AC8688069,2023-09-26,US085138,20
AC8671482,2023-09-26,US056690,7000
AC8672208,2023-09-26,US133027,20
AC8648711,2023-09-26,US174949,1250
AC8661410,2023-09-26,US098587,20
AC8662194,2023-09-26,US111538,1500
AC8636449,2023-09-26,US133027,20
AC8647955,2023-09-26,US164053,3500
AC8634900,2023-09-26,US078092,40
AC8656977,2023-09-26,US133071,3600
AC8647982,2023-09-26,US085138,100
AC8643343,2023-09-26,US126630,1500
AC8648627,2023-09-26,US124811,100
AC8668806,2023-09-26,US068965,100
AC8655664,2023-09-26,US162746,21600
AC8640197,2023-09-26,US168281,2000
AC8673104,2023-09-26,US053815,475
AC8686660,2023-09-26,US038024,1500
AC8643317,2023-09-26,US038542,475
AC8664762,2023-09-26,US084416,2000
AC8689321,2023-09-26,US151873,20
AC8664362,2023-09-26,US168307,2000
AC8646786,2023-09-26,US163012,20
AC8642970,2023-09-26,US163012,10
AC8658010,2023-09-26,US056690,3200
AC8655981,2023-09-26,US137602,100
AC8692509,2023-09-26,US011278,20
AC8690423,2023-09-26,US134593,1800
AC8637676,2023-09-26,US138437,20
AC8683750,2023-09-26,US011278,100
AC8678864,2023-09-26,US156750,1300
AC8646137,2023-09-26,US151612,3600
AC8686502,2023-09-26,US098371,2700
AC8672302,2023-09-26,US155263,35
AC8693292,2023-09-26,US163012,60
AC8688452,2023-09-26,US056321,20
AC8680125,2023-09-26,US137865,140
AC8657829,2023-09-26,US068212,40
AC8692562,2023-09-26,US083467,6000
AC8682065,2023-09-26,US068212,100
AC8666463,2023-09-26,US050200,100
AC8685773,2023-09-26,US110976,2000
AC8693562,2023-09-26,US130974,3000
AC8651020,2023-09-26,US050935,60
AC8640977,2023-09-26,US137865,280
AC8654912,2023-09-26,US134595,900
AC8673618,2023-09-26,US120160,1250
AC8657926,2023-09-26,US151612,100
AC8687820,2023-09-26,US016694,20
AC8676288,2023-09-26,US119562,240
AC8673801,2023-09-26,US174527,20
AC8663422,2023-09-26,US174334,20
AC8643842,2023-09-26,US151612,20
AC8664484,2023-09-26,US060503,350
AC8646974,2023-09-26,US123572,40
AC8635815,2023-09-26,US132902,5400
AC8650326,2023-09-26,US074534,20
AC8648724,2023-09-26,US126431,3000
AC8666764,2023-09-26,US075607,40
AC8653723,2023-09-26,US174953,1250
AC8680518,2023-09-26,US098371,3000
AC8680849,2023-09-26,US134422,40
AC8676403,2023-09-26,US038024,2450
AC8688882,2023-09-26,US124811,20
AC8692413,2023-09-26,US127649,1200
AC8636614,2023-09-26,US063983,140
AC8641916,2023-09-26,US174955,1250
AC8686209,2023-09-26,US174527,20
AC8649619,2023-09-26,US174334,20
AC8652309,2023-09-26,US048770,6300
AC8688335,2023-09-26,US018486,20
AC8654140,2023-09-26,US009411,25
AC8638697,2023-09-26,US063002,80
AC8685388,2023-09-26,US098371,1800
AC8681937,2023-09-26,US034964,40
AC8644846,2023-09-26,US092533,3000
AC8634917,2023-09-26,US148889,20
AC8685478,2023-09-26,US036649,20
AC8647619,2023-09-26,US111979,50
AC8677857,2023-09-26,US035806,100
AC8634783,2023-09-26,US009411,20
AC8665301,2023-09-26,US101477,50
AC8652199,2023-09-26,US112247,5400
AC8660321,2023-09-26,US100627,20
AC8679022,2023-09-26,US137637,1500
AC8663278,2023-09-26,US125680,20
AC8649371,2023-09-26,US009411,20
AC8644085,2023-09-26,US168484,2000
AC8679695,2023-09-26,US098446,14000
AC8634788,2023-09-26,US174334,40
AC8690563,2023-09-26,US175569,1250
AC8673779,2023-09-26,US130056,3000
AC8693392,2023-09-26,US119696,1300
AC8660703,2023-09-26,US153201,1500
AC8676253,2023-09-26,US040808,2400
AC8646004,2023-09-26,US174527,50
AC8642929,2023-09-26,US174334,40
AC8683919,2023-09-26,US038024,900
AC8661544,2023-09-26,US041371,40
AC8642270,2023-09-26,US078156,35
AC8638445,2023-09-26,US069462,40
AC8639152,2023-09-26,US169964,6500
AC8664524,2023-09-26,US168303,1250
AC8646429,2023-09-26,US098587,100
AC8676894,2023-09-26,US080986,900
AC8643800,2023-09-26,US164064,1500
AC8683345,2023-09-26,US122746,20
AC8638827,2023-09-26,US173828,1500
AC8692253,2023-09-26,US018486,100
AC8656184,2023-09-26,US085871,12000
AC8686012,2023-09-26,US159562,1250
AC8664473,2023-09-26,US062428,1500
AC8679328,2023-09-26,US063242,100
AC8690843,2023-09-26,US063207,1500
AC8672018,2023-09-26,US008494,40
AC8667073,2023-09-26,US134422,100
AC8688426,2023-09-26,US146195,200
AC8644380,2023-09-26,US063983,20
AC8687763,2023-09-26,US075607,20
AC8640096,2023-09-26,US058887,1200
AC8651962,2023-09-26,US169418,1250
AC8642485,2023-09-26,US169964,6300
AC8679653,2023-09-26,US100593,40
AC8681690,2023-09-26,US063242,80
AC8673749,2023-09-26,US159862,1200
AC8681326,2023-09-26,US111979,20
AC8653747,2023-09-26,US017129,360
AC8641910,2023-09-26,US169418,1250
AC8677178,2023-09-26,US008496,100
AC8691180,2023-09-26,US134272,200
AC8690469,2023-09-26,US130939,60
AC8671999,2023-09-26,US125405,50
AC8677149,2023-09-26,US130532,20
AC8644596,2023-09-26,US124811,50
AC8664586,2023-09-26,US017129,100
AC8677891,2023-09-26,US100627,100
AC8691012,2023-09-26,US170399,900
AC8664853,2023-09-26,US133003,50
AC8677296,2023-09-26,US117457,20
AC8661932,2023-09-26,US134593,900
AC8677886,2023-09-26,US033875,20
AC8686969,2023-09-26,US160409,20
AC8652115,2023-09-26,US154753,20
AC8644749,2023-09-26,US056690,900
AC8666049,2023-09-26,US117827,50
AC8635106,2023-09-26,US063002,20
AC8679468,2023-09-26,US075607,20
AC8656509,2023-09-26,US123222,60
AC8637543,2023-09-26,US163021,20
AC8670317,2023-09-26,US174334,20
AC8656961,2023-09-26,US101477,20
AC8637527,2023-09-26,US066406,3000
AC8637496,2023-09-26,US098371,30000
AC8681275,2023-09-26,US033875,60
AC8655491,2023-09-26,US157073,2000
AC8675697,2023-09-26,US163184,3600
AC8640941,2023-09-26,US100593,20
AC8653729,2023-09-26,US058887,900
AC8637327,2023-09-26,US068212,100
AC8654544,2023-09-26,US171956,2500
AC8646350,2023-09-26,US175739,5000
AC8688639,2023-09-26,US154921,1250
AC8668718,2023-09-26,US137363,20
AC8678130,2023-09-26,US005427,900
AC8691416,2023-09-26,US042923,3000
AC8661510,2023-09-26,US134595,2500
AC8669163,2023-09-26,US121788,20
AC8657310,2023-09-26,US177412,20
AC8673263,2023-09-26,US063002,40
AC8646327,2023-09-26,US130014,1250
AC8676523,2023-09-26,US022940,60
AC8650947,2023-09-26,US037823,10000
AC8663050,2023-09-26,US034964,20
AC8655595,2023-09-26,US098371,600
AC8668305,2023-09-26,US175847,1900
AC8689924,2023-09-26,US173660,1250
AC8639597,2023-09-26,US098371,1500
AC8646821,2023-09-26,US173828,1250
AC8638126,2023-09-26,US008494,40
AC8639053,2023-09-26,US155190,14000
AC8689398,2023-09-26,US018486,60
AC8647134,2023-09-26,US100866,1250
AC8681547,2023-09-26,US118040,40
AC8688647,2023-09-26,US141355,20
AC8672508,2023-09-26,US101368,5400
AC8671476,2023-09-26,US056135,20
AC8690091,2023-09-26,US067418,20
AC8641158,2023-09-26,US076214,6300
AC8684210,2023-09-26,US037823,9800
AC8693376,2023-09-26,US163012,20
AC8652017,2023-09-26,US123304,20
AC8656915,2023-09-26,US132410,20
AC8665325,2023-09-26,US124811,20
AC8648307,2023-09-26,US008494,20
AC8662118,2023-09-26,US125998,20
AC8637990,2023-09-26,US085138,20
AC8646724,2023-09-26,US078581,475
AC8658523,2023-09-26,US125680,50
AC8670562,2023-09-26,US077003,20
AC8644633,2023-09-26,US122746,40
AC8677234,2023-09-26,US125680,100
AC8644759,2023-09-26,US117457,20
AC8663366,2023-09-26,US100593,40
AC8641183,2023-09-26,US174953,1500
AC8661565,2023-09-26,US039767,40
AC8665384,2023-09-26,US136218,2000
AC8676221,2023-09-26,US137363,80
AC8653109,2023-09-26,US098835,20
AC8647847,2023-09-26,US078581,20
AC8644311,2023-09-26,US134595,1800
AC8679067,2023-09-26,US170399,950
AC8675209,2023-09-26,US050935,20
